Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
533470,Rushil Decor Limited,RUSHIL,RUSHIL DECOR LTD.,Active,B ,10.00,INE573K01017,Plywood Boards/ Laminates,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates
533477,Enkei wheels (India) Limited,ENKEIWHEL,ENKEI WHEELS (INDIA) LTD.,Active,X ,5.00,INE130L01014,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
533482,Kridhan Infra Limited,KRIDHANINF,Kridhan Infra Limited,Active,T ,2.00,INE524L01026,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction
533495,WELSPUN GLOBAL BRANDS LIMITED,WELGLOB,WELSPUN GLOBAL BRANDS LTD.,Delisted,T ,10.00,INE390K01016, ,Equity,-,-,-,-
533498,Zee Entertainment Enterprises Ltd.,ZEEENTBBPH,ZEEENTBBPH,Delisted,P ,1.00,-, ,Equity,-,-,-,-
533499,Bharatiya Global Infomedia Limited,BGLOBAL,BHARATIYA GLOBAL INFOMEDIA LTD.,Suspended,Z ,10.00,INE224M01013,IT Enabled Services,Equity,Information Technology,Information Technology,IT - Services,IT Enabled Services
533506,INVENTURE GROWTH & SECURITIES LIMITED,INVENTURE,INVENTURE GROWTH & SECURITIES LTD.,Active,T ,1.00,INE878H01024,Stockbroking & Allied,Equity,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
533519,L&T FINANCE HOLDINGS LIMITED,L&TFH,L&T FINANCE HOLDINGS LTD.,Active,A ,10.00,INE498L01015,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company
533520,Yaari Digital Integrated Services Ltd,YAARI,Yaari Digital Integrated Services Ltd,Active,T ,2.00,INE126M01010,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
533525,HealthFore Technologies Limited,HEALTHTECH,HEALTHFORE TECHNOLOGIES LTD.,Delisted,Z ,10.00,INE402L01017,Computers - Software & Consulting,Equity,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
533540,Tree House Education & Accessories Limited,TREEHOUSE,TREE HOUSE EDUCATION & ACCESSORIES LTD.,Active,T ,10.00,INE040M01013,Education,Equity,Consumer Discretionary,Consumer Services,Other Consumer Services,Education
533543,BROOKS LABORATORIES LIMITED,BROOKS,BROOKS LABORATORIES LTD.,Active,T ,10.00,INE650L01011,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
533552,RUPA & COMPANY LIMITED,RUPA,RUPA & COMPANY LTD.,Active,B ,1.00,INE895B01021,Garments & Apparels,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
533553,TD Power Systems Ltd,TDPOWERSYS,T D POWER SYSTEMS LTD.,Active,A ,2.00,INE419M01027,Heavy Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
533562,OnMobile Global Ltd.,ONMOBBBPH,ONMOBBBPH,Delisted,P ,10.00,            , ,Equity,-,-,-,-
533569,SRS Limited,SRSLTD,SRS LTD.,Delisted,Z ,10.00,INE219H01039,Gems- Jewellery And Watches,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
533573,ALEMBIC PHARMACEUTICALS LIMITED,APLLTD,ALEMBIC PHARMACEUTICALS LTD.,Active,A ,2.00,INE901L01018,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
533576,Vaswani Industries Limited,VASWANI,VASWANI INDUSTRIES LTD.,Active,T ,10.00,INE590L01019,Sponge Iron,Equity,Commodities,Metals & Mining,Ferrous Metals,Sponge Iron
533581,PG Electroplast Limited,PGEL,PG ELECTROPLAST LTD.,Active,A ,10.00,INE457L01011,Consumer Electronics,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Consumer Electronics
533602,Lesha Industries Limited,LESHAIND,LESHA INDUSTRIES LTD.,Active,X ,1.00,INE050L01048,Trading & Distributors,Equity,Services,Services,Commercial Services & Supplies,Trading & Distributors
533605,SETUBANDHAN INFRASTRUCTURE LIMITED,SETUINFRA,Setubandhan Infrastructure Ltd,Suspended,Z ,1.00,INE023M01027,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction
533608,RDB Rasayans Limited,RDBRL,RDB RASAYANS LTD.,Active,X ,10.00,INE123M01017,Packaging,Equity,Industrials,Capital Goods,Industrial Products,Packaging
533617,Eon Electric Ltd,EONBBPH,EONBBPH,Delisted,P ,10.00,-, ,Equity,-,-,-,-
533629,TIJARIA POLYPIPES LIMITED,TIJARIA,TIJARIA POLYPIPES LTD.,Active,T ,10.00,INE440L01017,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial
533632,Onelife Capital Advisors Ltd,ONELIFECAP,ONELIFE CAPITAL ADVISORS LTD.,Active,T ,10.00,INE912L01015,Stockbroking & Allied,Equity,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
533638,FLEXITUFF VENTURES INTERNATIONAL LIMITED,FLEXITUFF,Flexituff Ventures International Ltd,Active,T ,10.00,INE060J01017,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
533639,Taksheel Solutions Ltd,TAKSHEEL,TAKSHEEL SOLUTIONS LTD.,Delisted,T ,10.00,INE889I01011, ,Equity,-,-,-,-
533644,Ujaas Energy Limited,UEL,Ujaas Energy Limited,Active,T ,1.00,INE899L01030,Power Generation,Equity,Utilities,Power,Power,Power Generation
533655,Triveni Turbine Limited,TRITURBINE,TRIVENI TURBINE LTD.,Active,A ,1.00,INE152M01016,Heavy Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
