Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name,market_cap
532903,DHANUS TECHNOLOGIES LIMITED,DHANUS,DHANUS TECHNOLOGIES LTD.,Delisted,Z ,10.0,INE406H01016, ,Equity,-,-,-,-,
532904,Supreme Infrastructure India Limited,SUPREMEINF,SUPREME INFRASTRUCTURE INDIA LTD.,Active,Z ,10.0,INE550H01011,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,25698372
532905,Saamya Biotech (india) Ltd.,SAAMYABIO,SAAMYA BIOTECH (INDIA) LTD.,Delisted,Z ,10.0,INE320H01019,Biotechnology,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Biotechnology,
532906,MAAN ALUMINIUM LIMITED,MAANALU,MAAN ALUMINIUM LTD.,Active,B ,5.0,INE215I01027,Aluminium,Equity,Commodities,Metals & Mining,Non - Ferrous Metals,Aluminium,54084864
532907,IL&FS Engineering and Construction Company Ltd,IL&FSENGG,IL&FS ENGINEERING AND CONSTRUCTION COMPANY LTD.,Active,Z ,10.0,INE369I01014,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,131121078
532908,SHARON BIO-MEDICINE LTD.,SHARONBIO,SHARON BIO-MEDICINE LTD.-$,Delisted,Z ,2.0,INE028B01029,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,5755625
532909,Grabal Alok Impex Ltd.,GRABALALK,GRABAL ALOK IMPEX LTD.,Delisted,B ,10.0,INE012D01011, ,Equity,-,-,-,-,
532910,Anil Limited,ANILLTD,ANIL LTD.,Delisted,Z ,10.0,INE125E01019, ,Equity,-,-,-,-,
532911,PARLE INDUSTRIES LIMITED,PARLEIND,Parle Industries Ltd,Active,X ,10.0,INE272G01014,Diversified Commercial Services,Equity,Services,Services,Commercial Services & Supplies,Diversified Commercial Services,14000000
532912,Net 4 India Ltd.,NET4,NET 4 INDIA LTD.,Delisted,Z ,10.0,INE553E01012, ,Equity,-,-,-,-,
532913,Circuit Systems (India) Limited,CSIL,CIRCUIT SYSTEMS (INDIA) LTD.,Delisted,XD,10.0,INE720H01010, ,Equity,-,-,-,-,
532914,Arcotech Limited (Formerly SKS Ltd),ARCOTECH,ARCOTECH LTD.,Suspended,Z ,2.0,INE574I01035,Copper,Equity,Commodities,Metals & Mining,Non - Ferrous Metals,Copper,105000000
532915,Religare Enterprises Ltd,RELIGARE,RELIGARE ENTERPRISES LTD.,Active,A ,10.0,INE621H01010,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company,329721163
532916,BARAK VALLEY CEMENTS LIMITED,BVCL,BARAK VALLEY CEMENTS LTD.,Active,T ,10.0,INE139I01011,Cement & Cement Products,Equity,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,22160000
532917,VARUN INDUSTRIES LIMITED,VARUN,VARUN INDUSTRIES LTD.,Delisted,Z ,10.0,INE032G01012, ,Equity,-,-,-,-,
532918,RATHI BARS LIMITED,RATHIBAR,RATHI BARS LTD.,Active,XT,10.0,INE575I01016,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,16330357
532919,Allied Computers International (Asia) Limited,ACIASIA,ALLIED COMPUTERS INTERNATIONAL (ASIA) LTD.,Suspended,XT,10.0,INE335I01056,Computers Hardware & Equipments,Equity,Information Technology,Information Technology,IT - Hardware,Computers Hardware & Equipments,189754952
532920,EMPEE DISTILLERIES LTD,EDL,EMPEE DISTILLERIES LTD.,Delisted,Z ,10.0,INE180G01019, ,Equity,-,-,-,-,20175753
532921,Adani Ports and Special Economic Zone Ltd,ADANIPORTS,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,Active,A ,2.0,INE742F01042,Port & Port services,Equity,Services,Services,Transport Infrastructure,Port & Port services,2160138945
532922,Edelweiss Financial Services Ltd.,EDELWEISS,Edelweiss Financial Services Ltd.,Active,A ,1.0,INE532F01054,Holding Company,Equity,Financial Services,Financial Services,Finance,Holding Company,943785026
532923,RENAISSANCE GLOBAL LIMITED,RGL,Renaissance Global Ltd,Active,B ,2.0,INE722H01024,Gems- Jewellery And Watches,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches",96131432
532924,Kolte-Patil Developers Ltd,KOLTEPATIL,KOLTE-PATIL DEVELOPERS LTD.,Active,B ,10.0,INE094I01018,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",76004409
532925,Kaushalya Infrastructure Development Corporation Ltd,KAUSHALYA,KAUSHALYA INFRASTRUCTURE DEVELOPMENT CORPORATION LTD.,Active,B ,1000.0,INE234I01028,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,346306
532926,JYOTHY LABS LIMITED,JYOTHYLAB,Jyothy Labs Ltd,Active,A ,1.0,INE668F01031,Household Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Household Products,Household Products,367208644
532927,eClerx Services Limited,ECLERX,ECLERX SERVICES LTD.,Active,A ,10.0,INE738I01010,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),Equity,Services,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),49025359
532928,Transformers and Rectifiers (India) Limited,TRIL,TRANSFORMERS AND RECTIFIERS (INDIA) LTD.,Active,T ,1.0,INE763I01026,Heavy Electrical Equipment,Equity,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment,142564121
532929,Brigade Enterprises Limited,BRIGADE,BRIGADE ENTERPRISES LTD.,Active,A ,10.0,INE791I01019,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",231098641
532930,BGR ENERGY SYSTEMS LIMITED,BGRENERGY,BGR ENERGY SYSTEMS LTD.,Active,T ,10.0,INE661I01014,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,72161560
532931,Burnpur Cement Limited,BURNPUR,BURNPUR CEMENT LTD.,Active,B ,10.0,INE817H01014,Cement & Cement Products,Equity,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products,86124363
532932,MANAKSIA LIMITED,MANAKSIA,MANAKSIA LTD.,Active,B ,2.0,INE015D01022,Iron & Steel Products,Equity,Industrials,Capital Goods,Industrial Products,Iron & Steel Products,65534050
532933,PORWAL AUTO COMPONENTS LIMITED,PORWAL,PORWAL AUTO COMPONENTS LTD.,Active,X ,10.0,INE386I01018,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,15100000
532934,PPAP Automotive Limited,PPAP,PPAP Automotive Limited,Active,B ,10.0,INE095I01015,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,14000000
532935,"Aries Agro Limited,",ARIES,ARIES AGRO LTD.,Active,B ,10.0,INE298I01015,Fertilizers,Equity,Commodities,Chemicals,Fertilizers & Agrochemicals,Fertilizers,13004339
532937,Kuantum Papers Limited,KUANTUM,KUANTUM PAPERS LTD.,Active,B ,1.0,INE529I01021,Paper & Paper Products,Equity,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products,87263630
532938,Capital First Limited,CAPF,CAPITAL FIRST LTD.,Delisted,A ,10.0,INE688I01017, ,Equity,-,-,-,-,99052644
532939,Reliance Power Limited,RPOWER,RELIANCE POWER LTD.,Active,T ,10.0,INE614G01033,Power Generation,Equity,Utilities,Power,Power,Power Generation,4016970966
532940,J. Kumar Infraprojects Limited,JKIL,J.KUMAR INFRAPROJECTS LTD.,Active,A ,5.0,INE576I01022,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,75665506
532941,Cords Cable Industries Limited,CORDSCABLE,CORDS CABLE INDUSTRIES LTD.,Active,T ,10.0,INE792I01017,Cables - Electricals,Equity,Industrials,Capital Goods,Industrial Products,Cables - Electricals,12927780
532942,KNR Constructions Limited,KNRCON,KNR CONSTRUCTIONS LTD.,Active,A ,2.0,INE634I01029,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,281234600
532943,The Ramco Cements Limited,MDRASCMBBPH,MDRASCMBBPH,Delisted,B ,10.0,INE331A01029, ,Equity,-,-,-,-,
532944,OnMobile Global Ltd.,ONMOBILE,OnMobile Global Ltd.,Active,B ,10.0,INE809I01019,Other Telecom Services,Equity,Telecommunication,Telecommunication,Telecom - Services,Other Telecom Services,106214287
532945,SEPC LIMITED,SEPC,SEPC Ltd,Active,B ,10.0,INE964H01014,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,1371429018
532946,Bang Overseas Ltd,BANG,BANG OVERSEAS LTD.,Active,T ,10.0,INE863I01016,Garments & Apparels,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels,13560000
532947,IRB Infrastructure Developers Limited,IRB,IRB INFRASTRUCTURE DEVELOPERS LTD.,Active,A ,1.0,INE821I01022,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,6039000000
532948,Tulsi Extrusions Limited,TULSI,TULSI EXTRUSIONS LTD.,Suspended,Z ,10.0,INE474I01012,Plastic Products - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial,
532949,Piramal Glass Ltd,PIRAMGLAS,PIRAMAL GLASS LTD.,Delisted,B ,10.0,INE748E01018, ,Equity,-,-,-,-,
532950,Manjushree Technopack Limited,MANJUSHREE,MANJUSHREE TECHNOPACK LTD.,Delisted,B ,10.0,INE435H01015, ,Equity,-,-,-,-,
532951,GSS Infotech Ltd,GSS,GSS INFOTECH LTD.,Active,T ,10.0,INE871H01011,IT Enabled Services,Equity,Information Technology,Information Technology,IT - Services,IT Enabled Services,16936843
532952,Nahar Capital & Financial Services Ltd.,NAHARCAP,NAHAR CAPITAL & FINANCIAL SERVICES LTD.,Active,B ,5.0,INE049I01012,Investment Company,Equity,Financial Services,Financial Services,Finance,Investment Company,16746167
532953,V-Guard Industries Ltd.,VGUARD,V-GUARD INDUSTRIES LTD.,Active,A ,1.0,INE951I01027,Household Appliances,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances,434385980
532954,Reliance Infrastructure Ltd,RELINFRBBPH,RELINFRBBPH,Delisted,B ,10.0,-, ,Equity,-,-,-,-,
532955,REC LIMITED,RECLTD,REC Ltd,Active,A ,10.0,INE020B01018,Financial Institution,Equity,Financial Services,Financial Services,Finance,Financial Institution,2633224000
532956,Solectron EMS India Limited,SOLECTEMS,SOLECTRON EMS INDIA LTD.,Delisted,B ,10.0,INE647I01013, ,Equity,-,-,-,-,
532957,GOKAK TEXTILES LTD.,GOKAKTEX,GOKAK TEXTILES LTD.,Active,X ,10.0,INE642I01014,Other Textile Products,Equity,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products,6499308
532958,ETC Networks Limited,ETCN,ETC NETWORKS LTD.,Delisted,B ,10.0,INE098J01017, ,Equity,-,-,-,-,
532959,AJR INFRA AND TOLLING LIMITED,AJRINFRA,AJR Infra And Tolling Ltd,Suspended,Z ,2.0,INE181G01025,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,941830724
532960,Dhani Services Limited,DHANI,Dhani Services Ltd,Active,A ,2.0,INE274G01010,Other Financial Services,Equity,Financial Services,Financial Services,Finance,Other Financial Services,603259386
532961,Sita Shree Food Products Ltd,SITASHREE,SITA SHREE FOOD PRODUCTS LTD.,Delisted,Z ,10.0,INE686I01011,Other Food Products,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Other Food Products,27834174
532962,Deutsche Mutual Fund,DWSFTS43RG,DEUTSCHE MUTUAL FUND,Delisted,B ,10.0,INF223J01010, ,Equity,-,-,-,-,
532963,Deutsche Mutual Fund,DWSFTS43RD,DEUTSCHE MUTUAL FUND,Delisted,B ,10.0,INF223J01028, ,Equity,-,-,-,-,
532964,Deutsche Mutual Fund,DWSFTS43IG,DEUTSCHE MUTUAL FUND,Delisted,B ,10.0,INF223J01036, ,Equity,-,-,-,-,
532965,Patni Computer Systems Limited,PATNIBBPH,PATNICOMPUT*,Delisted,B ,2.0,-, ,Equity,-,-,-,-,
532966,TITAGARH RAIL SYSTEMS LIMITED,TITAGARH,Titagarh Rail Systems Ltd,Active,A ,2.0,INE615H01020,Railway Wagons,Equity,Industrials,Capital Goods,Industrial Manufacturing,Railway Wagons,134673768
532967,KIRI INDUSTRIES LIMITED,KIRIINDUS,KIRI INDUSTRIES LTD.,Active,A ,10.0,INE415I01015,Dyes And Pigments,Equity,Commodities,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments,51834211
532968,Mastek Limited,MASTKBBPH,MASTEK*,Delisted,B ,5.0,-, ,Equity,-,-,-,-,
532969,CHI Investments Limited,CHINVEST,CHI INVESTMENTS LTD.,Delisted,B ,10.0,INE975I01018, ,Equity,-,-,-,-,
532970,GREAT OFFSHORE LIMITED,GREATOFBBPH,GREAT OFFSH*,Delisted,B ,10.0,            , ,Equity,-,-,-,-,
532971,Sasken Technologies Limited,SASKENBBPH,SASKEN COMM*,Delisted,B ,10.0,            , ,Equity,-,-,-,-,
532972,Sankhya Infotech Ltd.,SANKHYAIN,SANKHYA INFOTECH LTD.,Suspended,XT,10.0,INE877A01013,Software Products,Equity,Information Technology,Information Technology,IT - Software,Software Products,48581653
532973,Goldiam International Ltd.,GOLDIAMBBPH,GOLDIAM INT*,Delisted,B ,10.0,-, ,Equity,-,-,-,-,
532974,Aditya Birla  Money Ltd,BIRLAMONEY,ADITYA BIRLA MONEY LTD.-$,Active,T ,1.0,INE865C01022,Stockbroking & Allied,Equity,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied,56509201
532975,TELOGICA LIMITED,TELOGICA,Telogica Ltd,Active,Z ,5.0,INE778I01024,Telecom -  Equipment & Accessories,Equity,Telecommunication,Telecommunication,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories,23894242
532976,Jai Balaji Industries Limited,JAIBALAJI,JAI BALAJI INDUSTRIES LTD.,Active,T ,10.0,INE091G01018,Iron & Steel,Equity,Commodities,Metals & Mining,Ferrous Metals,Iron & Steel,172450286
532977,Bajaj Auto Limited,BAJAJ-AUTO,BAJAJ AUTO LTD.,Active,A ,10.0,INE917I01010,2/3 Wheelers,Equity,Consumer Discretionary,Automobile and Auto Components,Automobiles,2/3 Wheelers,279179756
532978,Bajaj Finserv Limited,BAJAJFINSV,BAJAJ FINSERV LTD.,Active,A ,1.0,INE918I01026,Holding Company,Equity,Financial Services,Financial Services,Finance,Holding Company,1595488813
532979,Piramal Phytocare limited,PIRPHYTO,Piramal Phytocare Limited,Delisted,B ,10.0,INE122J01015, ,Equity,-,-,-,-,
532980,Gokul Refoils and Solvent Limited,GOKUL,GOKUL REFOILS & SOLVENT LTD.,Active,T ,2.0,INE020J01029,Edible Oil,Equity,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil,98995000
532981,Anu's Laboratories Ltd,ANULABS,ANU'S LABORATORIES LTD.,Delisted,Z ,1.0,INE450H01022, ,Equity,-,-,-,-,
532982,"SRF Ltd.,",SRFLBBPH,SRF LIMITED*,Delisted,B ,10.0,-, ,Equity,-,-,-,-,
532983,RPG Life Sciences Limited,RPGLIFE,RPG LIFE SCIENCES LTD.,Active,B ,8.0,INE105J01010,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,16539015
532984,Enso Secutrack Ltd,ENSOSECUT,ENSO SECUTRACK LTD.-$,Delisted,X ,10.0,INE969A01018, ,Equity,-,-,-,-,
532985,Kotak Mahindra Mutual Fund,SENSEX1,Kotak S&P BSE Sensex ETF,Active,A ,1.0,INF174KA1JD7,Mutual Fund Scheme - ETF,Equity,Financial Services,Financial Services,Capital Markets,Mutual Fund Scheme - ETF,
532986,Niraj Cement Structurals Limited,NIRAJ,NIRAJ CEMENT STRUCTURALS LTD.,Active,T ,10.0,INE368I01016,Civil Construction,Equity,Industrials,Construction,Construction,Civil Construction,40155300
532987,Rane Brake Lining Limited,RBL,RANE BRAKE LINING LTD.,Active,B ,10.0,INE244J01017,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,7729871
532988,Rane Engine Valve Limited,RANEENGINE,RANE ENGINE VALVE LTD.,Active,B ,10.0,INE222J01013,Auto Components & Equipments,Equity,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments,7234455
532989,Bafna Pharmaceuticals Limited,BAFNAPH,BAFNA PHARMACEUTICALS LTD.,Active,T ,10.0,INE878I01022,Pharmaceuticals,Equity,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals,23656335
532990,Metkore Alloys & Industries Ltd,METKORE,METKORE ALLOYS & INDUSTRIES LTD.,Suspended,Z ,2.0,INE592I01029,Ferro & Silica Manganese,Equity,Commodities,Metals & Mining,Ferrous Metals,Ferro & Silica Manganese,70426475
532991,MVL Limited,MVL,MVL LTD.,Suspended,Z ,1.0,INE744I01034,Residential- Commercial Projects,Equity,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects",601243200
532992,CHL Limited,CHLLTD,CHL LTD.,Active,X ,2.0,INE790D01020,Hotels & Resorts,Equity,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts,54818290
532993,SEJAL GLASS LIMITED,SEJALLTD,Sejal Glass Ltd,Active,T ,10.0,INE955I01044,Glass - Industrial,Equity,Industrials,Capital Goods,Industrial Products,Glass - Industrial,10100000
532994,Archidply Industries Limited,ARCHIDPLY,ARCHIDPLY INDUSTRIES LTD.,Active,B ,10.0,INE877I01016,Plywood Boards/ Laminates,Equity,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates,19865000
532995,Avon Corporation Limited,AVONCORP,AVON CORPORATION LTD.,Delisted,Z ,10.0,INE207I01016, ,Equity,-,-,-,-,
532996,FIRST WINNER INDUSTRIES LTD,FIRSTWIN,FIRST WINNER INDUSTRIES LTD.,Delisted,Z ,10.0,INE315J01015, ,Equity,-,-,-,-,
532997,KSK Energy Ventures  Limited,KSK,KSK ENERGY VENTURES LTD.,Suspended,Z ,10.0,INE143H01015,Power Generation,Equity,Utilities,Power,Power,Power Generation,423985774
532998,Lotus Eye Hospital And Institute Limited,LOTUSEYE,Lotus Eye Hospital And Institute Ltd,Active,T ,10.0,INE947I01017,Hospital,Equity,Healthcare,Healthcare,Healthcare Services,Hospital,20796330
532999,Nextgen Animation Mediaa Ltd,NEXTGENT,NEXTGEN ANIMATION MEDIAA LTD.,Delisted,XT,10.0,INE875I01010, ,Equity,-,-,-,-,
533000,ANG Industries Limited,ANGAUTOBBPH,ANG AUTO*,Delisted,B ,10.0,-, ,Equity,-,-,-,-,
533001,SOMI CONVEYOR BELTINGS LIMITED,SOMICONVEY,SOMI CONVEYOR BELTINGS LTD.,Active,T ,10.0,INE323J01019,Industrial Products,Equity,Industrials,Capital Goods,Industrial Manufacturing,Industrial Products,11779656
533003,Deutsche Mutual Fund,DWSFTS50AD,DEUTSCHE MUTUAL FUND - DWS FIXED TERM SERIES 50 - PLAN A - DIVIDEND OPTION,Delisted,B ,10.0,INF223J01069, ,Equity,-,-,-,-,
